 round 1 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 2 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 3 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 4 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 5 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 6 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 7 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 8 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 9 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 10 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
 round 11 : target (70,33) 0.0 ; plane (127,127) 2 ; prop (0,0) 0 ;  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ]  [ HP 200.0 pos (127,127) color 1 A L0 S0 PA0 PH1 AC0(0) ] 
